date,target,y_true,y_pred
2019-10-20,N02BE,,261.81103572547386
2019-10-27,N02BE,,221.25145865326658
2019-11-03,N02BE,,277.4270131111958
2019-11-10,N02BE,,261.91365773213187
2019-11-17,N02BE,,300.17788643596776
2019-11-24,N02BE,,284.0908283429554
2019-12-01,N02BE,,303.35329909083276
2019-12-08,N02BE,,302.94863590480657
2019-12-15,N02BE,,320.69243260829654
2019-12-22,N02BE,,327.8539241497905
2019-12-29,N02BE,,402.7169497430709
2020-01-05,N02BE,,414.88366768671017
2020-01-12,N02BE,,396.87201444666465
2020-01-19,N02BE,,390.2377439895718
2020-01-26,N02BE,,388.7635955560081
2020-02-02,N02BE,,383.2351766107688
2020-02-09,N02BE,,383.2351766107688
2020-02-16,N02BE,,384.10573162562366
2020-02-23,N02BE,,384.0251143108393
2020-03-01,N02BE,,384.0251143108393
2020-03-08,N02BE,,384.0749565828034
2020-03-15,N02BE,,383.47982130560723
2020-03-22,N02BE,,383.47982130560723
2020-03-29,N02BE,,382.90242027852844
2020-04-05,N02BE,,382.17657058404893
2020-04-12,N02BE,,381.9911369621613
